,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
0,lK2vHPesDJuvcu4fvmpgXA,auberge-saint-pierre-le-mont-saint-michel,Auberge Saint-Pierre,https://s3-media3.fl.yelpcdn.com/bphoto/ZP4hrMKRkcaUimeRvmpoEA/o.jpg,False,https://www.yelp.com/biz/auberge-saint-pierre-le-mont-saint-michel?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,7,"[{'alias': 'hotels', 'title': 'Hotels'}]",3.0,,[],€€€,,+33233601403,+33 2 33 60 14 03,1882.9077690075453,48.636199,-1.510107,Grande Rue,,,Le Mont-Saint-Michel,50170,FR,50,"['Grande Rue', '50170 Le Mont-Saint-Michel', 'France']"
1,O54WP6xS4WjHqAb3lqtqwQ,la-vieille-auberge-mont-saint-michel,La Vieille Auberge,,False,https://www.yelp.com/biz/la-vieille-auberge-mont-saint-michel?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.0,,[],€€€,,+33233601434,+33 2 33 60 14 34,1891.554623819762,48.6374866464272,-1.51200185046206,Grand rue,,,Mont Saint-Michel,50170,FR,50,"['Grand rue', '50170 Mont Saint-Michel', 'France']"
2,65xHKUoWijDW69vlgoXUbA,hôtel-du-guesclin-le-mont-saint-michel-2,Hôtel du Guesclin,https://s3-media4.fl.yelpcdn.com/bphoto/mSnao2VKklzUCFgHzEgisQ/o.jpg,False,https://www.yelp.com/biz/h%C3%B4tel-du-guesclin-le-mont-saint-michel-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,12,"[{'alias': 'hotels', 'title': 'Hotels'}]",3.5,,[],€€,,+33233601410,+33 2 33 60 14 10,1852.251289258707,48.635616,-1.50986,Grande rue,,,Le Mont Saint-Michel,50170,FR,50,"['Grande rue', '50170 Le Mont Saint-Michel', 'France']"
3,kg338E4L8kgfrABQusPcBw,hôtel-du-mouton-blanc-le-mont-st-michel-2,Hôtel du Mouton Blanc,https://s3-media3.fl.yelpcdn.com/bphoto/2FS9TQEsAlqtRLmvfjFSjQ/o.jpg,False,https://www.yelp.com/biz/h%C3%B4tel-du-mouton-blanc-le-mont-st-michel-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,9,"[{'alias': 'hotels', 'title': 'Hotels'}]",2.5,,[],€€,,+33233682992,+33 2 33 68 29 92,1844.4918603615604,48.6355694,-1.5099386,Grande Rue,,,Le Mont St Michel,50170,FR,50,"['Grande Rue', '50170 Le Mont St Michel', 'France']"
4,z4iD7vc_Ds3OIB0CbFECkw,hotel-mercure-le-mont-saint-michel,Hotel Mercure,https://s3-media3.fl.yelpcdn.com/bphoto/JiJ-sRIhbWoDXe-k9QlFOg/o.jpg,False,https://www.yelp.com/biz/hotel-mercure-le-mont-saint-michel?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,2,"[{'alias': 'hotels', 'title': 'Hotels'}]",5.0,,[],€€€,,+33233601418,+33 2 33 60 14 18,1737.6763754286555,48.614325,-1.510715,La Caserne,,,Le Mont Saint Michel,50170,FR,50,"['La Caserne', '50170 Le Mont Saint Michel', 'France']"
5,JtcW_Aml_xGqFSacitxDRA,hôtel-gabriel-mont-saint-michel-11,Hôtel Gabriel,https://s3-media1.fl.yelpcdn.com/bphoto/GDYQiefvGpoTDND6g3RKRA/o.jpg,False,https://www.yelp.com/biz/h%C3%B4tel-gabriel-mont-saint-michel-11?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.0,,[],€€,,+33233601413,+33 2 33 60 14 13,1634.0946782099124,48.6156371945626,-1.51092271894843,Route du Mont Saint-Michel,,,Mont Saint Michel,50170,FR,50,"['Route du Mont Saint-Michel', '50170 Mont Saint Michel', 'France']"
6,dPyoiUYkHngAkns1gzzhFA,auberge-de-la-baie-ardevon-2,Auberge de la Baie,https://s3-media2.fl.yelpcdn.com/bphoto/nj-JowieIbvgpz7spLiZug/o.jpg,False,https://www.yelp.com/biz/auberge-de-la-baie-ardevon-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.5,,[],€€€,,+33233682670,+33 2 33 68 26 70,3159.0865688961944,48.6157410287328,-1.48776515402289,44 route de la Rive,,,Ardevon,50170,FR,50,"['44 route de la Rive', '50170 Ardevon', 'France']"
7,julTM1Hu9fitV9CXRatM5g,hôtel-de-la-digue-le-mont-saint-michel,Hôtel de la Digue,https://s3-media3.fl.yelpcdn.com/bphoto/49UDHS6O--wF8TEYA8bBCg/o.jpg,False,https://www.yelp.com/biz/h%C3%B4tel-de-la-digue-le-mont-saint-michel?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3,"[{'alias': 'hotels', 'title': 'Hotels'}]",3.5,,[],,,+33233601402,+33 2 33 60 14 02,1753.9000217246262,48.61203,-1.514053,,,,Le Mont-Saint-Michel,50170,FR,50,"['50170 Le Mont-Saint-Michel', 'France']"
8,LyPWdqhje-YrYfAqjGpfqg,hôtel-de-la-digue-mont-saint-michel-le-3,Hôtel de La Digue,,False,https://www.yelp.com/biz/h%C3%B4tel-de-la-digue-mont-saint-michel-le-3?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3,"[{'alias': 'restaurants', 'title': 'Restaurants'}]",1.0,,[],€€,,+33233603069,+33 2 33 60 30 69,1401.3140293742174,48.6256,-1.50965,Rue La Caserne,,,Mont Saint Michel Le,50170,FR,50,"['Rue La Caserne', '50170 Mont Saint Michel Le', 'France']"
9,cm6gRNWuqiQEz8Xdo1fj3w,hôtel-vert-le-mont-saint-michel,Hôtel Vert,https://s3-media3.fl.yelpcdn.com/bphoto/JKZvf6_VWtQJOgK5V7DVRw/o.jpg,False,https://www.yelp.com/biz/h%C3%B4tel-vert-le-mont-saint-michel?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.0,,[],,,,,1828.1220200583343,48.607327,-1.51054,Route du Mont Saint Michel,,,Le Mont-Saint-Michel,50170,FR,50,"['Route du Mont Saint Michel', '50170 Le Mont-Saint-Michel', 'France']"
